portName,log,lat,asOcount,asDcount,total
"Montserrat, Caribbean",-62.1945,16.74416,3,0,3
Morlaix,-3.8261800000000004,48.577061,34,41,75
Moss,10.6702,59.43411999999999,1,0,1
Mundaka,-2.70037,43.409431,1,0,1
Muros,-9.05766,42.774811,2,0,2
Nantes,-1.55306,47.218109000000005,160,267,427
"Nantucket, MA",-70.099327,41.28521,1,2,3
Naples,14.25176,40.839989,2,4,6
Narbonne,3.00432,43.188351000000004,1,0,1
Narva,28.178671,59.379768000000006,9,3,12
Neath,-3.79981,51.662708,2,1,3
"New Bern, NC",-77.042068,35.108452,3,1,4
"New Castle County, Delaware",-75.605968,39.564732,1,0,1
"New Haven, CT",-72.92498000000002,41.307128999999996,1,0,1
"New London, CT",-72.096474,41.356442,2,2,4
"New Orleans, Louisiana",-90.077751,29.953699,1,1,2
"New Providence, Bahamas",-77.34078199999999,25.077471,2,2,4
New York,-74.00711800000002,40.71455,44,25,69
"Newburyport, MA",-70.872963,42.812038,12,7,19
Newcastle-upon-Tyne,-1.61162,54.977940000000004,13,7,20
Newfoundland,-60.21835,53.456805,37,31,68
"Newhaven, East Sussex",0.05033,50.792831,1,0,1
"Newport, RI",-71.31133299999999,41.492160999999996,3,0,3
Newry,-6.36477,54.113898999999996,1,1,2
Nieulle-sur-Seudre,-1.001647,45.751521000000004,1,0,1
Nieuport,2.750785,51.128515,3,4,7
Nieuwediep,6.85257,53.04554,1,0,1
Noirmoutier-en-Ile,-2.2476599999999998,47.00029,3,0,3
"Norfolk, VA",-76.28505699999998,36.846821000000006,13,4,17
Norrkoping,16.19383,58.584591,2,0,2
North Shields,-1.44795,55.01086,3,1,4
"Northampton County, VA",-75.84249100000001,37.336534,1,0,1
Norway,10.74998,59.912312,1,2,3
"Norwich, Connecticut",-72.07570600000001,41.526562,1,0,1
Oberg,10.24427,52.255859,1,0,1
"Olabeaga, Bilbao",-2.9545099735259996,43.2636795043945,1,0,1
Oleron,-1.30041,45.924019,13,4,17
Omonville-la-Rogue,-1.8430999517,49.70249176,1,0,1
Oporto,-8.61031,41.14946,19,35,54
Oslo,10.74998,59.91228100000001,11,5,16
Ostende,2.9127,51.231258000000004,33,93,126
